LapNumber,Stint,TyreLife,LapTime,Compound_INTERMEDIATE
2.0,1.0,2.0,87.134,1
3.0,1.0,3.0,86.24,1
4.0,1.0,4.0,86.702,1
5.0,1.0,5.0,85.394,1
6.0,1.0,6.0,84.311,1
7.0,1.0,7.0,84.342,1
8.0,1.0,8.0,84.657,1
9.0,1.0,9.0,84.778,1
10.0,1.0,10.0,84.015,1
11.0,1.0,11.0,84.156,1
12.0,1.0,12.0,83.43,1
13.0,1.0,13.0,84.512,1
14.0,1.0,14.0,84.791,1
15.0,1.0,15.0,84.669,1
16.0,1.0,16.0,85.131,1
17.0,1.0,17.0,84.328,1
18.0,1.0,18.0,84.248,1
19.0,1.0,19.0,84.493,1
20.0,1.0,20.0,83.915,1
21.0,1.0,21.0,84.269,1
22.0,1.0,22.0,85.055,1
23.0,1.0,23.0,84.267,1
24.0,1.0,24.0,84.53,1
25.0,1.0,25.0,84.156,1
26.0,1.0,26.0,85.252,1
35.0,2.0,3.0,88.006,1
36.0,2.0,4.0,86.509,1
37.0,2.0,5.0,85.286,1
38.0,2.0,6.0,84.391,1
43.0,2.0,11.0,85.676,1
44.0,2.0,12.0,83.884,1
45.0,2.0,13.0,82.876,1
46.0,2.0,14.0,83.106,1
47.0,2.0,15.0,82.453,1
48.0,2.0,16.0,82.29,1
49.0,2.0,17.0,82.241,1
50.0,2.0,18.0,82.043,1
51.0,2.0,19.0,82.306,1
52.0,2.0,20.0,82.38,1
53.0,2.0,21.0,82.251,1
54.0,2.0,22.0,82.246,1
55.0,2.0,23.0,82.291,1
56.0,2.0,24.0,82.005,1
57.0,2.0,25.0,81.862,1
58.0,2.0,26.0,81.782,1
59.0,2.0,27.0,81.551,1
60.0,2.0,28.0,81.331,1
61.0,2.0,29.0,81.336,1
62.0,2.0,30.0,81.069,1
63.0,2.0,31.0,81.232,1
64.0,2.0,32.0,81.029,1
65.0,2.0,33.0,80.99,1
66.0,2.0,34.0,81.111,1
67.0,2.0,35.0,80.472,1
68.0,2.0,36.0,81.554,1
69.0,2.0,37.0,81.322,1
